node_id,lon,lat
1,113.348184,23.154555
2,113.348199,23.154518
3,113.348309,23.154166
4,113.348373,23.153756
5,113.348332,23.153639
6,113.348256,23.15315
7,113.348147,23.152957
8,113.347945,23.152598
9,113.347928,23.152568
10,113.347455,23.151846
11,113.34716,23.15166
12,113.346967,23.151538
13,113.346575,23.151531
14,113.333505,23.152477
15,113.333183,23.151971
16,113.333027,23.151597
17,113.332999,23.151378
18,113.333027,23.151188
19,113.333075,23.151149
20,113.333154,23.151087
21,113.333294,23.150974
22,113.333511,23.150937
23,113.333778,23.150892
24,113.334184,23.1508
25,113.334784,23.150796
26,113.334924,23.150794
27,113.335472,23.150795
28,113.335505,23.150794
29,113.335779,23.150786
30,113.335865,23.150785
31,113.336382,23.150778
32,113.336592,23.150775
33,113.341009,23.157007
34,113.341013,23.156949
35,113.341023,23.156794
36,113.341084,23.156071
37,113.341091,23.155781
38,113.341162,23.154905
39,113.341153,23.154868
40,113.341155,23.15483
41,113.3412,23.154167
42,113.341874,23.157054
43,113.342303,23.157077
44,113.343183,23.157124
45,113.343636,23.157147
46,113.343663,23.157148
47,113.343839,23.157166
48,113.344149,23.157198
49,113.344495,23.157382
50,113.344524,23.157447
51,113.344547,23.157498
52,113.344566,23.157729
53,113.344553,23.157756
54,113.344503,23.157856
55,113.344271,23.157996
56,113.343996,23.157983
57,113.343781,23.157972
58,113.336398,23.150962
59,113.336392,23.151031
60,113.336366,23.151709
61,113.336356,23.151948
62,113.336346,23.152199
63,113.336341,23.152327
64,113.336278,23.152442
65,113.336218,23.152551
66,113.336206,23.152682
67,113.336184,23.152936
68,113.336179,23.152997
69,113.336162,23.153147
70,113.336139,23.153352
71,113.336116,23.153395
72,113.336024,23.153569
73,113.336139,23.154135
74,113.336189,23.154314
75,113.336059,23.1545
76,113.33595,23.154582
77,113.335714,23.154672
78,113.335528,23.154725
79,113.335389,23.154838
80,113.335222,23.155068
81,113.335155,23.15516
82,113.335064,23.155482
83,113.335112,23.155802
84,113.335281,23.155981
85,113.335333,23.156029
86,113.335486,23.15609
87,113.335831,23.156085
88,113.335897,23.156092
89,113.336498,23.156157
90,113.337293,23.156387
91,113.337438,23.156427
92,113.337807,23.156026
93,113.337471,23.156389
94,113.346702,23.150959
95,113.346665,23.150765
96,113.346598,23.150644
97,113.3465,23.150498
98,113.346467,23.150342
99,113.34646,23.150305
100,113.346462,23.149874
101,113.346467,23.149849
102,113.346595,23.149247
103,113.346649,23.149057
104,113.346629,23.148926
105,113.346581,23.148795
106,113.346465,23.148534
107,113.34639,23.148443
108,113.346245,23.148329
109,113.346059,23.148252
110,113.345882,23.14819
