osm_id,name,lon,lat
node/3388040259,,113.3378844,23.1704137
node/3648068554,小西门,113.3351703,23.159878
node/5536991206,,113.3354717,23.1507954
node/5572506751,小西门,113.3350436,23.1550865
node/5593552609,华南理工大学西北门,113.3382319,23.1644228
