u,v,walk_dis_m,car_dis_m
781,780,2000000000,2000000000
781,782,2000000000,137
782,781,2000000000,2000000000
783,784,2000000000,52
784,783,2000000000,2000000000
784,785,2000000000,5
785,784,2000000000,2000000000
785,786,2000000000,40
786,785,2000000000,2000000000
786,771,2000000000,17
771,786,2000000000,2000000000
787,788,2000000000,17
788,787,2000000000,2000000000
788,789,2000000000,35
789,788,2000000000,2000000000
789,790,2000000000,18
790,789,2000000000,2000000000
790,791,2000000000,14
791,790,2000000000,2000000000
791,792,2000000000,31
792,791,2000000000,2000000000
792,793,2000000000,20
793,792,2000000000,2000000000
793,794,2000000000,17
794,793,2000000000,2000000000
794,783,2000000000,19
783,794,2000000000,2000000000
305,795,13,13
795,305,13,2000000000
795,796,13,13
796,795,13,2000000000
796,797,13,13
797,796,13,2000000000
797,798,80,80
798,797,80,2000000000
674,799,3,3
799,674,3,2000000000
799,800,1,1
800,799,1,2000000000
800,801,5,5
801,800,5,2000000000
801,802,35,35
802,801,35,2000000000
767,116,2000000000,131
116,767,2000000000,2000000000
815,816,6,6
816,815,6,2000000000
816,817,5,5
817,816,5,2000000000
817,818,66,66
818,817,66,2000000000
818,819,35,35
819,818,35,2000000000
819,820,12,12
820,819,12,2000000000
820,821,12,12
821,820,12,2000000000
821,782,18,18
782,821,18,2000000000
782,762,19,19
762,782,19,2000000000
822,823,7,7
823,822,7,2000000000
823,824,32,32
824,823,32,2000000000
824,825,41,41
825,824,41,2000000000
825,826,13,13
826,825,13,2000000000
826,186,22,22
186,826,22,2000000000
186,767,28,28
767,186,28,2000000000
762,827,2000000000,12
827,762,2000000000,2000000000
827,828,2000000000,23
828,827,2000000000,2000000000
828,829,2000000000,26
829,828,2000000000,2000000000
829,830,2000000000,26
830,829,2000000000,2000000000
830,741,2000000000,4
741,830,2000000000,2000000000
766,831,3,3
831,766,3,2000000000
831,832,19,19
832,831,19,2000000000
832,833,25,25
833,832,25,2000000000
833,834,22,22
834,833,22,2000000000
834,835,6,6
835,834,6,2000000000
835,836,5,5
836,835,5,2000000000
565,856,9,9
856,565,9,9
856,857,16,16
857,856,16,16
559,858,10,10
858,559,10,10
858,859,10,10
859,858,10,10
858,860,24,24
860,858,24,24
860,861,27,27
861,860,27,27
861,862,4,4
862,861,4,4
862,333,57,57
333,862,57,57
342,863,8,8
863,342,8,8
863,864,11,11
864,863,11,11
864,865,7,7
865,864,7,7
865,866,10,10
866,865,10,10
866,867,27,27
867,866,27,27
867,868,38,38
868,867,38,38
868,869,20,20
869,868,20,20
869,870,39,39
870,869,39,39
870,871,15,15
871,870,15,15
871,872,14,14
872,871,14,14
872,873,13,13
873,872,13,13
873,874,54,54
874,873,54,54
874,875,48,48
875,874,48,48
875,876,38,38
876,875,38,38
876,877,27,27
877,876,27,27
877,878,23,23
878,877,23,23
878,879,20,20
879,878,20,20
879,880,13,13
880,879,13,13
880,881,30,30
881,880,30,30
881,98,6,6
98,881,6,6
882,883,63,63
883,882,63,63
883,365,56,56
365,883,56,56
370,884,8,2000000000
884,370,8,2000000000
884,885,18,2000000000
885,884,18,2000000000
885,886,83,2000000000
886,885,83,2000000000
886,887,23,2000000000
887,886,23,2000000000
373,888,22,2000000000
888,373,22,2000000000
888,889,19,2000000000
889,888,19,2000000000
889,890,13,2000000000
890,889,13,2000000000
890,891,9,2000000000
891,890,9,2000000000
891,892,5,2000000000
892,891,5,2000000000
163,893,113,113
893,163,113,113
893,894,73,73
894,893,73,73
894,895,25,25
895,894,25,25
895,896,20,20
896,895,20,20
896,897,44,44
897,896,44,44
897,898,6,6
898,897,6,6
898,899,29,29
899,898,29,29
899,154,46,46
154,899,46,46
894,900,47,47
900,894,47,47
900,901,19,19
901,900,19,19
901,902,49,49
902,901,49,49
902,903,5,5
903,902,5,5
903,904,45,45
904,903,45,45
904,905,48,48
905,904,48,48
905,906,57,2000000000
906,905,57,2000000000
906,907,14,2000000000
907,906,14,2000000000
907,576,44,2000000000
576,907,44,2000000000
903,908,37,37
908,903,37,37
908,909,30,30
909,908,30,30
908,910,61,61
910,908,61,61
910,900,32,32
900,910,32,32
900,585,46,2000000000
585,900,46,2000000000
406,405,11,2000000000
405,406,11,2000000000
405,911,100,2000000000
911,405,100,2000000000
911,422,50,2000000000
422,911,50,2000000000
410,912,85,2000000000
912,410,85,2000000000
912,913,69,2000000000
913,912,69,2000000000
913,418,25,2000000000
418,913,25,2000000000
914,80,13,2000000000
80,914,13,2000000000
915,916,5,2000000000
916,915,5,2000000000
916,914,9,2000000000
914,916,9,2000000000
78,917,111,2000000000
917,78,111,2000000000
917,918,19,2000000000
918,917,19,2000000000
918,919,30,2000000000
919,918,30,2000000000
919,920,39,2000000000
920,919,39,2000000000
920,187,78,2000000000
187,920,78,2000000000
918,712,41,2000000000
712,918,41,2000000000
920,711,38,2000000000
711,920,38,2000000000
84,921,58,58
921,84,58,58
921,922,35,35
922,921,35,35
922,923,45,45
923,922,45,45
923,924,22,22
924,923,22,22
924,925,54,54
925,924,54,54
925,926,47,47
926,925,47,47
926,635,60,60
635,926,60,60
635,927,8,8
927,635,8,8
927,160,6,6
160,927,6,6
647,928,12,2000000000
928,647,12,2000000000
928,929,3,2000000000
929,928,3,2000000000
929,930,3,2000000000
930,929,3,2000000000
642,636,2,2000000000
636,642,2,2000000000
915,931,47,47
931,915,47,47
931,932,32,32
932,931,32,32
932,933,75,75
933,932,75,75
32,934,14,14
934,32,14,14
934,58,16,16
58,934,16,16
59,935,82,82
935,59,82,82
63,538,25,25
538,63,25,25
538,936,34,34
936,538,34,34
936,937,20,20
937,936,20,20
937,938,34,34
938,937,34,34
938,939,10,10
939,938,10,10
939,940,23,23
940,939,23,23
940,941,18,18
941,940,18,18
941,942,41,41
942,941,41,41
942,74,17,17
74,942,17,17
943,944,45,2000000000
944,943,45,2000000000
945,946,4,2000000000
946,945,4,2000000000
946,947,67,2000000000
947,946,67,2000000000
947,948,19,2000000000
948,947,19,2000000000
948,949,29,2000000000
949,948,29,2000000000
949,950,54,2000000000
950,949,54,2000000000
950,951,14,2000000000
951,950,14,2000000000
951,952,36,2000000000
952,951,36,2000000000
952,953,38,2000000000
953,952,38,2000000000
953,954,4,2000000000
954,953,4,2000000000
954,955,21,2000000000
955,954,21,2000000000
955,11,68,2000000000
11,955,68,2000000000
101,956,83,83
956,101,83,83
956,957,10,10
957,956,10,10
957,958,47,47
958,957,47,47
958,959,18,18
959,958,18,18
959,960,20,20
960,959,20,20
960,961,4,4
961,960,4,4
961,962,20,20
962,961,20,20
962,963,5,5
963,962,5,5
963,876,20,20
876,963,20,20
957,964,47,47
964,957,47,47
964,965,47,47
965,964,47,47
965,966,18,18
966,965,18,18
966,967,20,20
967,966,20,20
967,968,21,21
968,967,21,21
962,969,24,24
969,962,24,24
969,968,30,30
968,969,30,30
968,970,27,27
970,968,27,27
970,971,16,16
971,970,16,16
971,972,8,8
972,971,8,8
972,973,7,7
973,972,7,7
973,974,4,4
974,973,4,4
974,975,21,21
975,974,21,21
975,976,17,17
976,975,17,17
976,965,44,44
965,976,44,44
965,958,47,47
958,965,47,47
974,967,44,44
967,974,44,44
967,960,47,47
960,967,47,47
975,966,44,44
966,975,44,44
966,959,47,47
959,966,47,47
970,977,18,18
977,970,18,18
977,978,7,7
978,977,7,7
978,979,15,15
979,978,15,15
979,980,5,5
980,979,5,5
980,981,9,9
981,980,9,9
981,982,23,23
982,981,23,23
982,983,27,27
983,982,27,27
983,984,21,21
984,983,21,21
984,985,26,26
985,984,26,26
985,986,24,24
986,985,24,24
553,987,47,47
987,553,47,47
987,988,41,41
988,987,41,41
988,989,25,25
989,988,25,25
989,990,14,14
990,989,14,14
990,873,48,48
873,990,48,48
873,991,62,62
991,873,62,62
991,992,18,18
992,991,18,18
992,955,42,42
955,992,42,42
955,993,50,50
993,955,50,50
993,994,36,36
994,993,36,36
994,995,40,40
995,994,40,40
872,953,108,108
953,872,108,108
953,996,34,34
996,953,34,34
987,997,39,39
997,987,39,39
997,998,26,26
998,997,26,26
998,999,20,20
999,998,20,20
999,1000,26,26
1000,999,26,26
1000,1001,22,22
1001,1000,22,22
1001,1002,27,27
1002,1001,27,27
1002,1003,24,24
1003,1002,24,24
981,1004,14,14
1004,981,14,14
1004,1003,25,25
1003,1004,25,25
1003,1005,13,13
1005,1003,13,13
1005,1006,32,32
1006,1005,32,32
1006,1007,8,8
1007,1006,8,8
1007,1008,9,9
1008,1007,9,9
1008,1009,11,11
1009,1008,11,11
1009,1010,10,10
1010,1009,10,10
1009,1011,30,30
1011,1009,30,30
1011,1012,26,26
1012,1011,26,26
1012,1004,30,30
1004,1012,30,30
1006,1012,34,34
1012,1006,34,34
876,1013,39,39
1013,876,39,39
1013,1014,34,34
1014,1013,34,34
1014,1015,26,26
1015,1014,26,26
1015,1016,34,34
1016,1015,34,34
1016,877,42,42
877,1016,42,42
998,986,34,34
986,998,34,34
986,990,39,39
990,986,39,39
990,870,38,38
870,990,38,38
870,952,105,105
952,870,105,105
952,995,107,107
995,952,107,107
995,7,40,40
7,995,40,40
997,1017,21,21
1017,997,21,21
1017,988,19,19
988,1017,19,19
988,1018,34,34
1018,988,34,34
1018,869,32,32
869,1018,32,32
869,950,104,104
950,869,104,104
951,1019,136,136
1019,951,136,136
1020,1021,32,32
1021,1020,32,32
1021,1022,15,15
1022,1021,15,15
1022,1019,19,19
1019,1022,19,19
1019,1023,7,7
1023,1019,7,7
1023,1024,20,20
1024,1023,20,20
1024,1025,8,8
1025,1024,8,8
1025,1026,22,22
1026,1025,22,22
1026,1020,17,17
1020,1026,17,17
1020,5,6,6
5,1020,6,6
1022,1026,30,30
1026,1022,30,30
864,1027,19,19
1027,864,19,19
1027,947,93,93
947,1027,93,93
1028,1029,26,26
1029,1028,26,26
1029,866,27,27
866,1029,27,27
866,948,102,102
948,866,102,102
949,867,103,103
867,949,103,103
867,1028,23,23
1028,867,23,23
868,1030,52,52
1030,868,52,52
999,985,35,35
985,999,35,35
1000,984,36,36
984,1000,36,36
984,1031,49,49
1031,984,49,49
1031,1032,19,19
1032,1031,19,19
1032,1033,31,31
1033,1032,31,31
1033,1034,33,33
1034,1033,33,33
1034,1035,18,18
1035,1034,18,18
1035,969,22,22
969,1035,22,22
1001,983,37,37
983,1001,37,37
983,1032,50,50
1032,983,50,50
1032,874,33,33
874,1032,33,33
874,1036,75,75
1036,874,75,75
1002,982,38,38
982,1002,38,38
982,1033,52,52
1033,982,52,52
1033,1037,18,18
1037,1033,18,18
1037,1038,17,17
1038,1037,17,17
1038,875,17,17
875,1038,17,17
980,1039,45,45
1039,980,45,45
1039,1034,9,9
1034,1039,9,9
978,1035,56,56
1035,978,56,56
878,1040,45,45
1040,878,45,45
1040,1041,7,7
1041,1040,7,7
1041,881,28,28
881,1041,28,28
1013,1016,26,26
1016,1013,26,26
1016,1040,27,27
1040,1016,27,27
13,1036,22,22
1036,13,22,22
1036,992,45,45
992,1036,45,45
767,1042,49,49
1042,767,49,49
1042,1043,60,60
1043,1042,60,60
1043,1044,2,2
1044,1043,2,2
1044,1045,16,16
1045,1044,16,16
1045,1046,9,9
1046,1045,9,9
1046,1047,11,11
1047,1046,11,11
1047,1048,43,43
1048,1047,43,43
1048,1049,74,74
1049,1048,74,74
1010,1049,34,2000000000
1049,1010,34,2000000000
1043,1050,18,18
1050,1043,18,18
1050,1051,27,27
1051,1050,27,27
1051,1052,18,18
1052,1051,18,18
1052,1053,38,38
1053,1052,38,38
1053,1048,22,22
1048,1053,22,22
1048,1054,22,22
1054,1048,22,22
1054,1055,31,31
1055,1054,31,31
1055,1056,28,28
1056,1055,28,28
1042,1057,21,21
1057,1042,21,21
1057,1058,72,72
1058,1057,72,72
1058,1059,28,28
1059,1058,28,28
1059,1048,37,37
1048,1059,37,37
1051,1046,23,23
1046,1051,23,23
1045,1058,29,29
1058,1045,29,29
1059,1055,23,23
1055,1059,23,23
1060,1061,34,34
1061,1060,34,34
1061,1062,12,12
1062,1061,12,12
1062,1063,26,26
1063,1062,26,26
1063,1064,25,25
1064,1063,25,25
1064,1065,20,20
1065,1064,20,20
1065,1066,18,18
1066,1065,18,18
1066,1067,22,22
1067,1066,22,22
1067,1068,18,18
1068,1067,18,18
1068,1069,39,39
1069,1068,39,39
1069,1070,10,10
1070,1069,10,10
115,1071,27,27
1071,115,27,27
1071,1072,22,22
1072,1071,22,22
1072,1073,14,14
1073,1072,14,14
1073,1074,38,38
1074,1073,38,38
1074,1070,24,24
1070,1074,24,24
1075,1076,28,28
1076,1075,28,28
1076,1065,30,30
1065,1076,30,30
1065,1077,22,22
1077,1065,22,22
1077,1078,28,28
1078,1077,28,28
1078,1074,34,34
1074,1078,34,34
1074,1079,33,33
1079,1074,33,33
1077,1080,38,38
1080,1077,38,38
1078,1081,38,38
1081,1078,38,38
1061,1082,49,49
1082,1061,49,49
1082,1071,54,54
1071,1082,54,54
1083,1082,25,25
1082,1083,25,25
1082,1084,37,37
1084,1082,37,37
1062,1085,33,33
1085,1062,33,33
1085,1086,30,30
1086,1085,30,30
1086,1087,28,28
1087,1086,28,28
1087,1075,36,36
1075,1087,36,36
1075,1088,15,15
1088,1075,15,15
1076,1089,20,20
1089,1076,20,20
1089,1090,24,24
1090,1089,24,24
1090,1085,23,23
1085,1090,23,23
1091,1087,37,37
1087,1091,37,37
1087,1090,30,30
1090,1087,30,30
1090,1063,31,31
1063,1090,31,31
1063,1080,34,34
1080,1063,34,34
1080,1084,11,11
1084,1080,11,11
1084,1081,18,18
1081,1084,18,18
1081,1073,34,34
1073,1081,34,34
1089,1064,30,30
1064,1089,30,30
1092,1093,7,7
1093,1092,7,7
1093,1079,53,53
1079,1093,53,53
1079,1094,10,10
1094,1079,10,10
1094,1095,25,25
1095,1094,25,25
1095,1096,57,57
1096,1095,57,57
1096,1097,33,33
1097,1096,33,33
1097,1098,84,84
1098,1097,84,84
1098,1099,25,25
1099,1098,25,25
1099,1100,39,39
1100,1099,39,39
1100,1101,30,30
1101,1100,30,30
1101,1102,21,21
1102,1101,21,21
1072,1092,30,30
1092,1072,30,30
1092,1103,34,34
1103,1092,34,34
1103,1104,39,39
1104,1103,39,39
1104,1105,11,11
1105,1104,11,11
717,1106,74,74
1106,717,74,74
1106,1107,58,58
1107,1106,58,58
1107,1108,87,87
1108,1107,87,87
1108,1109,15,15
1109,1108,15,15
1109,1110,30,30
1110,1109,30,30
1110,720,32,32
720,1110,32,32
1107,1111,51,51
1111,1107,51,51
1111,1112,14,14
1112,1111,14,14
1112,1113,126,126
1113,1112,126,126
1113,1114,47,47
1114,1113,47,47
1114,1115,29,29
1115,1114,29,29
1115,1116,29,29
1116,1115,29,29
1116,1117,31,31
1117,1116,31,31
1117,1118,23,23
1118,1117,23,23
1118,1119,21,21
1119,1118,21,21
1119,1120,22,22
1120,1119,22,22
1114,1121,72,72
1121,1114,72,72
1121,1122,125,125
1122,1121,125,125
1122,1111,20,20
1111,1122,20,20
1111,1123,39,39
1123,1111,39,39
1123,1124,28,28
1124,1123,28,28
1124,1125,26,26
1125,1124,26,26
1125,1126,10,10
1126,1125,10,10
1126,397,42,42
397,1126,42,42
31,1127,28,28
1127,31,28,28
1127,1128,21,21
1128,1127,21,21
1128,1114,36,36
1114,1128,36,36
28,1129,33,33
1129,28,33,33
1129,1130,42,42
1130,1129,42,42
1130,1127,54,54
1127,1130,54,54
30,1130,30,30
1130,30,30,30
1130,1131,19,19
1131,1130,19,19
1131,1128,55,55
1128,1131,55,55
1128,1132,96,96
1132,1128,96,96
1132,1125,49,49
1125,1132,49,49
1115,1133,26,26
1133,1115,26,26
1133,1134,4,4
1134,1133,4,4
1134,1120,47,47
1120,1134,47,47
1120,1135,37,37
1135,1120,37,37
1135,1136,22,22
1136,1135,22,22
1136,1119,37,37
1119,1136,37,37
1119,1137,35,35
1137,1119,35,35
1137,1138,14,14
1138,1137,14,14
1138,1133,17,17
1133,1138,17,17
60,1139,45,45
1139,60,45,45
1139,1140,25,25
1140,1139,25,25
1140,1141,27,27
1141,1140,27,27
1141,1142,24,24
1142,1141,24,24
1142,1143,28,28
1143,1142,28,28
1143,1144,30,30
1144,1143,30,30
1144,1145,25,25
1145,1144,25,25
1145,1146,28,28
1146,1145,28,28
1140,61,48,48
61,1140,48,48
1141,62,51,51
62,1141,51,51
1142,64,48,48
64,1142,48,48
1143,66,44,44
66,1143,44,44
1144,67,46,46
67,1144,46,46
1147,1148,27,27
1148,1147,27,27
1148,1145,44,44
1145,1148,44,44
1145,69,47,47
69,1145,47,47
1149,1147,26,26
1147,1149,26,26
1147,1146,44,44
1146,1147,44,44
1146,71,47,47
71,1146,47,47
543,1150,33,33
1150,543,33,33
1150,1151,32,32
1151,1150,32,32
1151,391,94,94
391,1151,94,94
1150,392,82,82
392,1150,82,82
392,549,92,92
549,392,92,92
538,1152,43,43
1152,538,43,43
1152,1153,33,33
1153,1152,33,33
1153,1154,41,41
1154,1153,41,41
1154,1155,35,35
1155,1154,35,35
1155,1156,5,5
1156,1155,5,5
1156,1157,21,21
1157,1156,21,21
1157,1158,64,64
1158,1157,64,64
1158,1159,29,29
1159,1158,29,29
389,1159,20,20
1159,389,20,20
1159,1160,43,43
1160,1159,43,43
1160,1161,42,42
1161,1160,42,42
1161,1162,37,37
1162,1161,37,37
1162,1163,34,34
1163,1162,34,34
1163,1164,20,20
1164,1163,20,20
1164,1165,25,25
1165,1164,25,25
940,1165,50,50
1165,940,50,50
1165,1155,50,50
1155,1165,50,50
1163,1166,6,6
1166,1163,6,6
1166,1167,13,13
1167,1166,13,13
1167,1156,38,38
1156,1167,38,38
938,1154,77,77
1154,938,77,77
937,1153,51,51
1153,937,51,51
1152,1168,45,45
1168,1152,45,45
1168,541,27,27
541,1168,27,27
74,1169,18,18
1169,74,18,18
1169,710,154,154
710,1169,154,154
710,189,83,83
189,710,83,83
1169,1170,26,26
1170,1169,26,26
1170,709,157,157
709,1170,157,157
708,192,92,92
192,708,92,92
707,387,67,67
387,707,67,67
516,1171,16,16
1171,516,16,16
1171,1172,18,18
1172,1171,18,18
1172,1173,20,20
1173,1172,20,20
1173,512,17,17
512,1173,17,17
512,1174,19,19
1174,512,19,19
1174,1175,13,13
1175,1174,13,13
1175,1176,3,3
1176,1175,3,3
1176,1177,12,12
1177,1176,12,12
1177,525,21,21
525,1177,21,21
88,1178,51,51
1178,88,51,51
1178,1179,14,14
1179,1178,14,14
1179,924,58,58
924,1179,58,58
1178,1180,52,52
1180,1178,52,52
1180,632,99,99
632,1180,99,99
921,1179,60,60
1179,921,60,60
925,1180,72,72
1180,925,72,72
1181,1182,34,34
1182,1181,34,34
1182,926,56,56
926,1182,56,56
1183,1182,59,59
1182,1183,59,59
685,1184,47,47
1184,685,47,47
1184,1185,33,33
1185,1184,33,33
1185,1186,54,54
1186,1185,54,54
1186,164,32,32
164,1186,32,32
683,1185,49,49
1185,683,49,49
682,1186,62,62
1186,682,62,62
165,1187,7,7
1187,165,7,7
1187,1188,60,60
1188,1187,60,60
1188,1189,58,58
1189,1188,58,58
1189,1190,18,18
1190,1189,18,18
1190,1191,7,7
1191,1190,7,7
1191,1192,27,27
1192,1191,27,27
1192,1193,31,31
1193,1192,31,31
1193,169,44,44
169,1193,44,44
1191,167,67,67
167,1191,67,67
167,1194,51,51
1194,167,51,51
1192,168,56,56
168,1192,56,56
170,1195,37,37
1195,170,37,37
1195,1196,152,152
1196,1195,152,152
1196,1197,97,97
1197,1196,97,97
1197,1198,48,48
1198,1197,48,48
1198,1199,68,68
1199,1198,68,68
1199,1200,24,24
1200,1199,24,24
1200,1201,80,80
1201,1200,80,80
1202,1203,64,2000000000
1203,1202,64,2000000000
1203,303,49,2000000000
303,1203,49,2000000000
1204,1205,19,2000000000
1205,1204,19,2000000000
1205,1206,5,2000000000
1206,1205,5,2000000000
1206,1207,6,2000000000
1207,1206,6,2000000000
1207,575,15,2000000000
575,1207,15,2000000000
1208,1209,8,2000000000
1209,1208,8,2000000000
1209,1210,4,2000000000
1210,1209,4,2000000000
1210,1202,7,2000000000
1202,1210,7,2000000000
346,1211,17,2000000000
1211,346,17,2000000000
1211,1212,30,2000000000
1212,1211,30,2000000000
1212,1213,36,2000000000
1213,1212,36,2000000000
1213,1214,23,2000000000
1214,1213,23,2000000000
1214,1215,13,2000000000
1215,1214,13,2000000000
336,1216,15,2000000000
1216,336,15,2000000000
1216,1217,19,2000000000
1217,1216,19,2000000000
1217,1218,17,2000000000
1218,1217,17,2000000000
1218,1219,20,2000000000
1219,1218,20,2000000000
1219,1220,22,2000000000
1220,1219,22,2000000000
1220,1221,19,2000000000
1221,1220,19,2000000000
1221,1222,16,2000000000
1222,1221,16,2000000000
705,1223,24,24
1223,705,24,24
1223,1224,59,59
1224,1223,59,59
1223,1225,34,34
1225,1223,34,34
1223,1226,37,37
1226,1223,37,37
1227,1228,12,2000000000
1228,1227,12,2000000000
1228,1229,4,2000000000
1229,1228,4,2000000000
1229,1230,16,2000000000
1230,1229,16,2000000000
1230,1231,20,2000000000
1231,1230,20,2000000000
1231,147,18,2000000000
147,1231,18,2000000000
141,1230,52,2000000000
1230,141,52,2000000000
140,1231,51,2000000000
1231,140,51,2000000000
589,1232,46,2000000000
1232,589,46,2000000000
1232,1233,25,2000000000
1233,1232,25,2000000000
144,1232,58,2000000000
1232,144,58,2000000000
142,899,152,152
899,142,152,152
144,897,146,2000000000
897,144,146,2000000000
847,675,3,2000000000
675,847,3,2000000000
573,302,47,2000000000
302,573,47,2000000000
1234,1235,2000000000,18
1235,1234,2000000000,2000000000
1235,1236,2000000000,59
1236,1235,2000000000,2000000000
1236,1237,2000000000,22
1237,1236,2000000000,2000000000
1237,182,2000000000,12
182,1237,2000000000,2000000000
93,91,5,5
91,93,5,5
187,92,12,12
92,187,12,12
565,1238,58,2000000000
1238,565,58,2000000000
1238,1202,4,2000000000
1202,1238,4,2000000000
553,1239,15,15
1239,553,15,15
1239,1240,72,72
1240,1239,72,72
1240,341,19,19
341,1240,19,19
802,1241,4,4
1241,802,4,2000000000
1241,1242,6,6
1242,1241,6,2000000000
1242,1243,2,2
1243,1242,2,2000000000
1243,1244,7,7
1244,1243,7,2000000000
1244,1245,5,5
1245,1244,5,2000000000
1245,815,5,5
815,1245,5,2000000000
802,1246,9,9
1246,802,9,2000000000
1246,1247,5,5
1247,1246,5,2000000000
1247,812,6,6
812,1247,6,2000000000
812,295,19,19
295,812,19,2000000000
571,1248,5,5
1248,571,5,5
1248,553,5,5
553,1248,5,5
559,1249,30,2000000000
1249,559,30,2000000000
1249,1250,34,2000000000
1250,1249,34,2000000000
1250,354,28,2000000000
354,1250,28,2000000000
551,1251,57,2000000000
1251,551,57,2000000000
190,1252,162,162
1252,190,162,162
1252,1253,51,51
1253,1252,51,51
1253,1254,50,50
1254,1253,50,50
368,1255,13,13
1255,368,13,13
1255,1256,3,3
1256,1255,3,3
1256,218,46,46
218,1256,46,46
372,1257,47,2000000000
1257,372,47,2000000000
1257,1258,18,2000000000
1258,1257,18,2000000000
1258,1255,19,2000000000
1255,1258,19,2000000000
439,1259,31,31
1259,439,31,31
1259,196,16,16
196,1259,16,16
426,439,23,2000000000
439,426,23,2000000000
377,891,34,2000000000
891,377,34,2000000000
1260,1261,16,16
1261,1260,16,16
1261,1262,15,15
1262,1261,15,15
1262,1263,26,26
1263,1262,26,26
1263,1264,36,36
1264,1263,36,36
1264,1265,5,5
1265,1264,5,5
1265,1266,8,8
1266,1265,8,8
1266,1267,84,84
1267,1266,84,84
1267,407,9,9
407,1267,9,9
211,289,53,2000000000
289,211,53,2000000000
208,293,49,2000000000
293,208,49,2000000000
1256,1268,15,2000000000
1268,1256,15,2000000000
1268,1269,16,2000000000
1269,1268,16,2000000000
1269,1270,14,2000000000
1270,1269,14,2000000000
1270,215,3,2000000000
215,1270,3,2000000000
205,1271,13,13
1271,205,13,13
1271,1272,17,17
1272,1271,17,17
1272,1273,15,15
1273,1272,15,15
1273,1274,12,12
1274,1273,12,12
1274,1275,18,18
1275,1274,18,18
1275,1276,17,17
1276,1275,17,17
1276,1277,2,2
1277,1276,2,2
1277,1278,19,19
1278,1277,19,19
1278,1279,23,23
1279,1278,23,23
1279,1280,18,18
1280,1279,18,18
1280,1281,17,17
1281,1280,17,17
1281,1282,1,1
1282,1281,1,1
1282,1283,16,16
1283,1282,16,16
1283,1284,57,57
1284,1283,57,57
1284,1285,18,18
1285,1284,18,18
1285,1281,57,57
1281,1285,57,57
1273,1286,15,15
1286,1273,15,15
1286,1287,13,13
1287,1286,13,13
1287,1288,3,3
1288,1287,3,3
1288,1289,19,19
1289,1288,19,19
1289,1290,10,10
1290,1289,10,10
1290,1291,6,6
1291,1290,6,6
1291,1292,8,8
1292,1291,8,8
1292,1293,5,5
1293,1292,5,5
1293,1280,5,5
1280,1293,5,5
1274,1287,25,25
1287,1274,25,25
1275,1290,49,49
1290,1275,49,49
206,1260,31,31
1260,206,31,31
1260,1294,15,15
1294,1260,15,15
1294,887,30,30
887,1294,30,30
887,206,24,24
206,887,24,24
220,1295,21,21
1295,220,21,21
1295,1296,54,54
1296,1295,54,54
1296,882,28,28
882,1296,28,28
882,1297,21,21
1297,882,21,21
1297,1298,4,4
1298,1297,4,4
1298,1299,12,12
1299,1298,12,12
1299,1300,44,44
1300,1299,44,44
1300,1301,21,21
1301,1300,21,21
1302,1303,24,24
1303,1302,24,24
1303,1304,41,41
1304,1303,41,41
1304,138,18,18
138,1304,18,18
187,1305,35,35
1305,187,35,35
1305,1306,71,71
1306,1305,71,71
1306,1307,32,32
1307,1306,32,32
1307,664,32,32
664,1307,32,32
664,1308,4,4
1308,664,4,4
1308,1309,66,66
1309,1308,66,66
1309,1254,15,15
1254,1309,15,15
1254,1310,16,16
1310,1254,16,16
1310,665,8,8
665,1310,8,8
665,1302,8,8
1302,665,8,8
1302,33,71,71
33,1302,71,71
305,1311,7,7
1311,305,7,7
1311,1312,6,6
1312,1311,6,6
1312,324,3,3
324,1312,3,3
324,1313,9,9
1313,324,9,9
1313,713,5,5
713,1313,5,5
798,1314,12,12
1314,798,12,2000000000
1314,1315,6,6
1315,1314,6,2000000000
1315,815,11,11
815,1315,11,2000000000
798,1316,11,11
1316,798,11,2000000000
1316,1317,11,11
1317,1316,11,2000000000
1317,1318,11,11
1318,1317,11,2000000000
1318,1319,11,11
1319,1318,11,2000000000
1319,295,11,11
295,1319,11,2000000000
600,1320,43,2000000000
1320,600,43,2000000000
1320,1321,17,2000000000
1321,1320,17,2000000000
1321,1322,9,2000000000
1322,1321,9,2000000000
1322,1323,6,2000000000
1323,1322,6,2000000000
1323,1324,12,2000000000
1324,1323,12,2000000000
1324,1325,10,2000000000
1325,1324,10,2000000000
1325,1326,11,2000000000
1326,1325,11,2000000000
53,1327,9,9
1327,53,9,9
1327,1328,9,9
1328,1327,9,9
1328,1329,7,7
1329,1328,7,7
1329,1330,10,10
1330,1329,10,10
1330,1331,10,10
1331,1330,10,10
1331,1332,6,6
1332,1331,6,6
1332,1333,4,4
1333,1332,4,4
1333,595,5,5
595,1333,5,5
594,1334,14,14
1334,594,14,14
1334,1335,24,24
1335,1334,24,24
1335,1336,5,5
1336,1335,5,5
1336,1337,10,10
1337,1336,10,10
1337,1338,8,8
1338,1337,8,8
1338,1339,9,9
1339,1338,9,9
1339,1340,25,25
1340,1339,25,25
1340,1341,18,18
1341,1340,18,18
1341,1342,16,16
1342,1341,16,16
1342,1343,8,8
1343,1342,8,8
1343,1344,6,6
1344,1343,6,6
1344,1345,24,24
1345,1344,24,24
1345,1346,22,22
1346,1345,22,22
1336,1347,21,2000000000
1347,1336,21,2000000000
1347,1323,16,2000000000
1323,1347,16,2000000000
1346,1348,7,2000000000
1348,1346,7,2000000000
