u,v,walk_dis_m,car_dis_m
167,168,21,21
168,167,21,21
168,169,23,23
169,168,23,23
169,170,31,31
170,169,31,31
170,171,37,37
171,170,37,37
171,172,36,36
172,171,36,36
172,173,86,86
173,172,86,86
173,174,9,9
174,173,9,9
174,175,11,11
175,174,11,11
175,176,65,65
176,175,65,65
176,177,84,84
177,176,84,84
177,178,30,30
178,177,30,30
178,179,59,59
179,178,59,59
179,180,42,42
180,179,42,42
180,181,20,20
181,180,20,20
182,183,2000000000,37
183,182,2000000000,2000000000
183,184,2000000000,19
184,183,2000000000,2000000000
184,185,2000000000,20
185,184,2000000000,2000000000
185,186,2000000000,10
186,185,2000000000,2000000000
187,188,33,33
188,187,33,33
188,189,27,27
189,188,27,27
189,190,12,12
190,189,12,12
190,191,52,52
191,190,52,52
191,192,9,9
192,191,9,9
192,193,16,16
193,192,16,16
193,194,18,18
194,193,18,18
181,195,22,22
195,181,22,22
195,196,34,34
196,195,34,34
196,197,10,10
197,196,10,10
197,198,13,13
198,197,13,13
198,199,32,32
199,198,32,32
199,200,42,42
200,199,42,42
200,201,42,42
201,200,42,42
201,202,11,11
202,201,11,11
202,203,43,43
203,202,43,43
203,204,11,11
204,203,11,11
204,205,43,43
205,204,43,43
206,207,47,47
207,206,47,47
207,208,27,27
208,207,27,27
208,209,6,6
209,208,6,6
209,210,24,24
210,209,24,24
210,211,38,38
211,210,38,38
211,212,15,15
212,211,15,15
212,213,7,7
213,212,7,7
213,214,49,49
214,213,49,49
214,215,56,56
215,214,56,56
215,216,14,14
216,215,14,14
216,217,27,27
217,216,27,27
217,218,20,20
218,217,20,20
218,219,16,16
219,218,16,16
219,220,43,43
220,219,43,43
220,221,13,13
221,220,13,13
221,222,80,80
222,221,80,80
222,223,56,56
223,222,56,56
223,224,33,33
224,223,33,33
224,205,14,14
205,224,14,14
202,225,77,2000000000
225,202,77,2000000000
226,227,110,110
227,226,110,110
227,228,40,40
228,227,40,40
228,229,47,47
229,228,47,47
230,231,4,4
231,230,4,4
231,232,7,7
232,231,7,7
232,233,4,4
233,232,4,4
233,234,4,4
234,233,4,4
234,229,4,4
229,234,4,4
229,235,7,7
235,229,7,7
235,236,7,7
236,235,7,7
236,237,11,11
237,236,11,11
237,238,16,16
238,237,16,16
238,239,33,33
239,238,33,33
239,240,15,15
240,239,15,15
240,241,15,15
241,240,15,15
241,242,16,16
242,241,16,16
242,243,12,12
243,242,12,12
243,244,12,12
244,243,12,12
244,245,10,10
245,244,10,10
245,246,31,31
246,245,31,31
246,247,60,60
247,246,60,60
247,248,26,26
248,247,26,26
248,181,27,27
181,248,27,27
181,249,17,17
249,181,17,17
249,250,16,16
250,249,16,16
250,251,9,9
251,250,9,9
251,252,10,10
252,251,10,10
252,253,12,12
253,252,12,12
253,254,21,21
254,253,21,21
254,255,16,16
255,254,16,16
255,256,29,29
256,255,29,29
256,257,35,35
257,256,35,35
257,258,41,41
258,257,41,41
258,259,28,28
259,258,28,28
259,260,18,18
260,259,18,18
260,261,140,140
261,260,140,140
261,262,11,11
262,261,11,11
262,263,10,10
263,262,10,10
263,264,7,7
264,263,7,7
264,265,11,11
265,264,11,11
265,266,17,17
266,265,17,17
266,267,23,23
267,266,23,23
267,268,58,58
268,267,58,58
268,269,18,18
269,268,18,18
269,270,17,17
270,269,17,17
270,271,12,12
271,270,12,12
271,272,7,7
272,271,7,7
272,273,8,8
273,272,8,8
273,274,8,8
274,273,8,8
274,275,8,8
275,274,8,8
275,276,6,6
276,275,6,6
276,277,5,5
277,276,5,5
277,278,17,17
278,277,17,17
278,279,41,41
279,278,41,41
279,280,74,74
280,279,74,74
280,281,19,19
281,280,19,19
205,282,23,23
282,205,23,23
282,283,43,43
283,282,43,43
283,284,46,46
284,283,46,46
284,285,35,35
285,284,35,35
285,286,13,13
286,285,13,13
286,287,5,5
287,286,5,5
287,288,45,45
288,287,45,45
288,289,46,46
289,288,46,46
289,290,13,13
290,289,13,13
290,291,24,24
291,290,24,24
291,292,17,17
292,291,17,17
292,293,13,13
293,292,13,13
293,294,30,30
294,293,30,30
294,206,60,60
206,294,60,60
295,296,11,11
296,295,11,2000000000
296,297,11,11
297,296,11,2000000000
297,298,11,11
298,297,11,2000000000
298,299,11,11
299,298,11,2000000000
299,300,43,43
300,299,43,2000000000
300,301,8,8
301,300,8,2000000000
301,302,21,21
302,301,21,2000000000
302,303,14,14
303,302,14,2000000000
